ine,conv,group,name,text,sentiment
L2181,u12,m1,ALONSO,Can't be that far I say. Also I don't like the smell of the sea around here. Smells like a cunt. Bad sign,negative
L2180,u23,m1,SAILOR,We left three weeks ago Alonso. Can't be that near.,negative
L2179,u12,m1,ALONSO,We should have seen land.,negative
L2177,u23,m1,SAILOR,We'll all go crazy,neutral
L2176,u12,m1,ALONSO,He's the devil's child,negative
L2175,u12,m1,ALONSO,With a face like that? I don't want you looking at me. You hear?,negative
L2174,u23,m1,SAILOR,Ah leave him alone. He's doing no harm.,negative
L2173,u12,m1,ALONSO,What are you listening to chicken ass?,negative
L2172,u12,m1,ALONSO,You'll be drinking your own piss For the glory of Spain and Admiral Colon! Bastard!,negative
L2171,u23,m1,SAILOR,The water's going putrid in the barrels.,neutral
L2170,u12,m1,ALONSO,I never seen heat like this! Not even in Las Minas!,negative
L2025,u13,m1,AROJAZ,IF GOD WILLS IT!,neutral
L2024,u16,m1,COLUMBUS,Asia can be found to the west and I will prove it.,neutral
L2023,u16,m1,COLUMBUS,Blind faith is what I consider heresy!,positive
L2022,u13,m1,AROJAZ,Don't you realize your words could be considered heretical?,negative
L2020,u16,m1,COLUMBUS,Did He not choose a carpenter's son to reveal Himself to the world?,negative
L2019,u13,m1,AROJAZ,If God intended our proximity to Asia do you believe he would have waited for you to show it to the world?,neutral
L2016,u16,m1,COLUMBUS,No. The Portuguese have already discovered black-skinned people. I too will find other populations and bring them to the word of God.,negative
L2015,u13,m1,AROJAZ,Is that all that interests you? Gold?,neutral
L2014,u16,m1,COLUMBUS,Trade Your Excellency. According to Marco Polo the Kingdom of China is one of the richest of the world. Even the meanest buildings are roofed with gold.,neutral
L2012,u16,m1,COLUMBUS,If they agree to follow me yes.,positive
L2011,u13,m1,AROJAZ,Your life and that of others!,negative
L2010,u16,m1,COLUMBUS,Your Eminence there is only one way to settle the matter. And that is to make the journey. I am ready to risk my life to prove it possible.,positive
L2006,u16,m1,COLUMBUS,Excellency you are right.,positive
L2005,u13,m1,AROJAZ,Senor Colon an experienced captain such as yourself will understand our concern with the crew. I am not willing to have on my conscience the loss of men who would have relied upon our judgment.,negative
L1993,u13,m1,AROJAZ,Then you cannot ignore that according to their calculations the circumference of the Earth is approximately 22000 leagues or more. Which makes the ocean uncrossable.,negative
L1992,u16,m1,COLUMBUS,I am Your Eminence,positive
L1991,u13,m1,AROJAZ,Unfortunately Don Colon that is precisely where our opinions differ Are you familiar with the work of Aristotle? Erathostene? Ptolemeus?,negative
L1990,u16,m1,COLUMBUS,Yes your Eminence. The voyage should not take more than six or seven weeks.,negative
L1989,u13,m1,AROJAZ,You say Asia can be found by sailing west?,neutral
L2524,u24,m1,SANCHEZ,A waste? Let me tell you something Arojaz. If your name or mine is ever remembered it will only be because of his.,negative
L2523,u13,m1,AROJAZ,What a tragedy what a waste of a life,negative
L2522,u24,m1,SANCHEZ,You can see for yourself.,neutral
L2275,u24,m1,SANCHEZ,On the contrary Your Eminence. It seems to me the man is preparing his own cross.,neutral
L2274,u13,m1,AROJAZ,It won't be easy to get rid of your prophet now Don Sanchez.,neutral
L2031,u24,m1,SANCHEZ,Indeed. The world is full of mercenaries and states often make use of them when it benefits them. My only concern is the welfare and prosperity of Spain.,positive
L2030,u13,m1,AROJAZ,He is a mercenary! Did he not already try to convince the King of Portugal of his absurd notions?,negative
L2029,u24,m1,SANCHEZ,Naturally. But I would really deplore the loss of such a potential opportunity for Spain for a dispute over a point of geography.,negative
L2028,u13,m1,AROJAZ,The Judgment is ours!,positive
L2027,u24,m1,SANCHEZ,The State has some reason to be interested in this man's proposition Your Eminence,neutral
L2540,u16,m1,COLUMBUS,I can't keep my eyes off you. I would like to catch up with all the moments I didn't spend with you.,negative
L2539,u14,m1,BEATRIX,What is it now? Tell me,neutral
L2538,u14,m1,BEATRIX,I am busy inside.,negative
L2537,u16,m1,COLUMBUS,Can't you stay with us a little?,negative
L2474,u16,m1,COLUMBUS,Not everything Do you think I care? I'm a free man again. Riches don't make a man rich they only make him busier,neutral
L2473,u14,m1,BEATRIX,They took everything,negative
L2472,u14,m1,BEATRIX,They tried but I didn't let them.,negative
L2471,u16,m1,COLUMBUS,God you're so beautiful! I can't believe no other man has ever taken you away from me,positive
L2320,u16,m1,COLUMBUS,I can arrange for the Queen to take Fernando and Diego into her service.,positive
L2319,u14,m1,BEATRIX,You don't usually ask.,neutral
L2318,u16,m1,COLUMBUS,Beatrix I want to ask you something.,neutral
L2123,u14,m1,BEATRIX,That's something you can't decide.,negative
L2122,u16,m1,COLUMBUS,I don't want you to wait for me.,negative
L2121,u14,m1,BEATRIX,I'm not asking you to swear to anything.,negative
L2119,u14,m1,BEATRIX,Thank God,positive
L2118,u16,m1,COLUMBUS,She said yes.,positive
L1986,u14,m1,BEATRIX,I find that hard to believe.,positive
L1985,u16,m1,COLUMBUS,Perhaps I was never meant to live with a woman,negative
L1984,u14,m1,BEATRIX,I'd love to argue with you sometimes. But you're never here!,negative
L1983,u16,m1,COLUMBUS,Are we going to argue?,negative
L1982,u14,m1,BEATRIX,Well that's true. I have a child by a man who won't marry me! Who's always leaving,negative
L1981,u16,m1,COLUMBUS,I haven't given you much of a life.,negative
L1980,u14,m1,BEATRIX,I know.,positive
L1979,u16,m1,COLUMBUS,I could be gone for years.,positive
