Pattern,#SUP:,#CONF:
excuse ==> me,2.0,0.6666666666666666
need ==> to,9.0,0.6923076923076923
sometimes ==> to,2.0,0.5
sometimes ==> you,3.0,0.75
afraid ==> of,3.0,0.6
more ==> than,5.0,0.5555555555555556
effect ==> on,2.0,1.0
figured ==> to,2.0,1.0
thank ==> god,2.0,0.5
if ==> you,18.0,0.6206896551724138
wouldnt ==> start,2.0,0.6666666666666666
whyd ==> you,3.0,1.0
listen ==> to,5.0,0.8333333333333334
listen ==> you,3.0,0.5
wanted ==> to,2.0,0.5
wanted ==> you,3.0,0.75
wanted ==> me,2.0,0.5
looked ==> you,2.0,1.0
into ==> a,2.0,0.6666666666666666
believe ==> the,4.0,0.6666666666666666
believe ==> you,3.0,0.5
spend ==> with,2.0,1.0
shed ==> with,2.0,0.6666666666666666
wearing ==> a,2.0,0.6666666666666666
heard ==> a,4.0,0.6666666666666666
kind ==> of,3.0,1.0
kind ==> a,2.0,0.6666666666666666
kind ==> guy,2.0,0.6666666666666666
likes ==> and,2.0,0.6666666666666666
shes ==> not,4.0,0.6666666666666666
understand ==> the,3.0,0.5
full ==> of,2.0,1.0
seem ==> to,2.0,0.6666666666666666
seem ==> for,2.0,0.6666666666666666
unless ==> your,2.0,0.6666666666666666
unless ==> sister,3.0,1.0
unless ==> goes,2.0,0.6666666666666666
punishing ==> me,2.0,1.0
use ==> it,2.0,0.5
word ==> god,2.0,0.5
word ==> of,2.0,0.5
arent ==> a,2.0,0.6666666666666666
theres ==> i,3.0,0.6
theres ==> a,3.0,0.6
might ==> date,2.0,0.5
might ==> a,2.0,0.5
such ==> a,4.0,0.5
want ==> to,21.0,0.6774193548387096
used ==> to,3.0,0.6
use ==> when,2.0,0.5
high ==> a,2.0,0.5
high ==> school,3.0,0.75
seems ==> like,2.0,0.6666666666666666
seems ==> the,2.0,0.6666666666666666
seems ==> is,2.0,0.6666666666666666
easy ==> of,2.0,1.0
loss ==> of,2.0,0.6666666666666666
name ==> of,2.0,0.5
try ==> to,2.0,0.5
part ==> of,2.0,0.5
thought ==> you,10.0,0.7142857142857143
public ==> the,2.0,1.0
public ==> up,2.0,1.0
wanted ==> up,2.0,0.5
sophomore ==> the,2.0,0.6666666666666666
also ==> of,2.0,0.6666666666666666
sophomore ==> prom,2.0,0.6666666666666666
id ==> to,5.0,0.625
days ==> ago,2.0,0.5
line ==> like,2.0,1.0
line ==> a,2.0,1.0
wonder ==> you,2.0,1.0
wonder ==> know,2.0,1.0
child ==> a,2.0,1.0
supposed ==> to,6.0,1.0
actually ==> you,3.0,0.5
asia ==> to,2.0,0.5
asia ==> found,2.0,0.5
asia ==> it,2.0,0.5
asia ==> can,2.0,0.5
asia ==> be,2.0,0.5
asia ==> the,2.0,0.5
asia ==> west,2.0,0.5
prove ==> it,2.0,1.0
exactly ==> to,2.0,0.5
son ==> to,2.0,0.5
talk ==> to,4.0,0.6666666666666666
bring ==> of,2.0,0.6666666666666666
bring ==> the,2.0,0.6666666666666666
bring ==> word,2.0,0.6666666666666666
bring ==> god,2.0,0.6666666666666666
according ==> of,2.0,0.6666666666666666
according ==> to,3.0,1.0
according ==> the,2.0,0.6666666666666666
according ==> is,2.0,0.6666666666666666
follow ==> me,2.0,1.0
ill ==> a,3.0,0.5
